ID;Date Entry;Date Exit;Dias;Account;Strategy;Asset Type;Symbol;Side;Quantity;Risk[USD];Price Entry;Target Exit;Stoploss;Retorno;Spread;Risk/Reward;State;Total
40;6/12/2018 17:00;2/01/2019 17:00;27.00;54541;D1;FOREX;AUD_CHF;Short;10000;3000;0.71843;0.68883;0.73833; $ 4,462.31 ;2.69;1.487437186;Closed; $ 228,608.24
41;6/12/2018 17:00;24/12/2018 17:00;18.00;54541;D1;FOREX;AUD_JPY;Short;10000;3000;81.505;77.854;83.965; $ 4,452.44 ;7.96;1.484146341;Closed; $ 233,060.68
42;3/01/2019 5:00;10/01/2019 9:00;7.17;54541;W1;FOREX;CAD_CHF;Long;10000;3000;0.73016;0.74209;0.72222; $ 4,507.56 ;5.57;1.502518892;Closed; $ 237,568.24
43;8/01/2019 17:00;13/04/2019 17:00;95.00;54541;D1;CFD;AU200_AUD;Long;10000;3000;5739.8;6262.5;5391.7; $ 4,504.74 ;3.79;1.501580006;Closed; $ 242,072.98
44;10/01/2019 17:00;5/02/2019 17:00;26.00;54541;W1;FOREX;AUD_CHF;Long;10000;3000;0.70769;0.72527;0.69565; $ 4,380.40 ;4.23;1.46013289;Closed; $ 246,453.38
45;10/01/2019 17:00;5/02/2019 17:00;26.00;54541;W1;FOREX;EUR_CHF;Long;10000;3000;1.13214;1.1442;1.12012; $ 3,009.98 ;5.8;1.003327787;Closed; $ 249,463.36
46;11/01/2019 9:00;31/01/2019 9:00;20.00;54541;W1;FOREX;EUR_NZD;Short;10000;3000;1.6801;1.6532;1.70017; $ 4,020.93 ;4.02;1.340308919;Closed; $ 253,484.29
47;16/01/2019 1:00;24/01/2019 13:00;8.50;54541;W1;FOREX;GBP_NZD;Long;10000;3000;1.89781;1.93047;1.88148; $ 6,000.00 ;5.81;2;Closed; $ 259,484.29
48;21/01/2019 9:00;24/01/2019 17:00;3.33;54541;W1;FOREX;GBP_USD;Long;10000;3000;1.28971;1.31071;1.27921; $ 6,000.00 ;8.31;2;Closed; $ 265,484.29
49;28/02/2019 17:00;23/04/2019 17:00;54.00;54541;D1;CFD;SOYBN_USD;Short;10000;3000;8.937;8.596;9.221; $ 3,602.11 ;1.92;1.200704225;Closed; $ 269,086.40
50;1/04/2019 17:00;8/05/2019 17:00;37.00;54541;W1;FOREX;NZD_USD;Short;10000;3000;0.67584;0.65771;0.69404; $ 2,988.46 ;7.42;0.996153846;Closed; $ 272,074.86
51;17/04/2019 17:00;8/05/2019 17:00;21.00;54541;W1;FOREX;NZD_CAD;Short;10000;3000;0.89742;0.87914;0.90656; $ 6,000.00 ;5.88;2;Closed; $ 278,074.86
52;1/05/2019 8:00;13/05/2019 4:00;11.83;54541;W1;FOREX;CAD_CHF;Short;10000;3000;0.75532;0.74834;0.7622; $ 3,043.60 ;1.15;1.014534884;Closed; $ 281,118.47
53;13/05/2019 8:00;5/06/2019 0:00;22.67;54541;W1;FOREX;XAU_USD;Long;10000;3000;1300.56;1335.258;1265.862; $ 3,000.00 ;8.05;1;Closed; $ 284,118.47
54;31/05/2019 8:00;5/06/2019 4:00;4.83;54541;W1;FOREX;NZD_CAD;Long;10000;3000;0.88347;0.89044;0.87652; $ 3,008.63 ;4.63;1.002877698;Closed; $ 287,127.10
55;4/06/2019 8:00;5/06/2019 4:00;0.83;54541;W1;FOREX;EUR_NZD;Short;10000;3000;1.7031;1.69489;1.71028; $ 3,430.36 ;1.92;1.143454039;Closed; $ 290,557.46
56;6/06/2019 17:00;25/07/2019 17:00;49.00;54541;W1;FOREX;EUR_USD;Long;10000;3000;1.12769;1.14397;1.14397;-$ 3,000.00 ;9.4;-1;Closed; $ 287,557.46
57;12/07/2019 8:00;18/07/2019 8:00;6.00;54541;W1;FOREX;AUD_CAD;Long;10000;3000;0.91441;0.92151;0.90731; $ 3,000.00 ;1.72;1;Closed; $ 290,557.46
58;16/07/2019 12:00;19/07/2019 8:00;2.83;54541;W1;FOREX;NZD_CAD;Long;10000;3000;0.87718;0.88376;0.87279; $ 4,496.58 ;2.92;1.498861048;Closed; $ 295,054.04
59;23/07/2019 4:00;24/07/2019 0:00;0.83;54541;W1;FOREX;EUR_GBP;Short;10000;3000;0.89726;0.89072;0.90052; $ 6,018.40 ;3.33;2.006134969;Closed; $ 301,072.45
60;13/08/2019 12:00;6/09/2019 4:00;23.67;54541;W1;FOREX;CAD_CHF;Long;10000;3000;0.73852;0.75017;0.72692; $ 3,012.93 ;9.05;1.004310345;Closed; $ 304,085.38
61;3/09/2019 8:00;8/09/2019 16:00;5.33;54541;W1;CFD;NATGAS_USD;Long;10000;3000;2.362;2.505;2.267; $ 4,515.79 ;3.79;1.505263158;Closed; $ 308,601.17
62;4/09/2019 17:00;13/09/2019 8:00;8.63;54541;W1;FOREX;AUD_CAD;Long;10000;3000;0.90083;0.90963;0.8979; $ 9,010.24 ;9.06;3.003412969;Closed; $ 317,611.41
63;4/09/2019 17:00;9/09/2019 17:00;5.00;54541;W1;FOREX;AUD_JPY;Long;10000;3000;72.348;74.241;71.033; $ 4,318.63 ;5.26;1.439543726;Closed; $ 321,930.04
64;4/09/2019 20:00;9/09/2019 4:00;4.33;54541;W1;FOREX;NZD_CHF;Long;10000;3000;0.62677;0.63681;0.62175; $ 6,000.00 ;2.04;2;Closed; $ 327,930.04
65;29/09/2019 20:00;2/10/2019 4:00;2.33;54541;W1;FOREX;AUD_NZD;Long;10000;3000;1.07782;1.07022;1.07022;-$ 3,000.00 ;1.67;-1;Closed; $ 324,930.04
66;11/10/2019 4:00;17/10/2019 4:00;6.00;54541;W1;FOREX;EUR_USD;Long;10000;3000;1.10465;1.11244;1.09685; $ 2,996.15 ;6.8;0.998717949;Closed; $ 327,926.19
67;15/10/2019 17:00;17/10/2019 17:00;2.00;54541;W1;FOREX;EUR_JPY;Long;10000;3000;120.092;121.16;119.023; $ 2,997.19 ;4.81;0.999064546;Closed; $ 330,923.39
68;21/10/2019 17:00;7/11/2019 17:00;17.00;54541;W1;FOREX;EUR_AUD;Short;10000;3000;1.62322;1.60117;1.64404; $ 3,177.23 ;1.91;1.05907781;Closed; $ 334,100.62
69;23/10/2019 4:00;25/10/2019 0:00;1.83;54541;W1;FOREX;NZD_CHF;Long;10000;3000;0.63466;0.63154;0.63154;-$ 3,000.00 ;3.85;-1;Closed; $ 331,100.62
70;7/11/2019 1:00;12/11/2019 17:00;5.67;54541;W1;FOREX;EUR_NZD;Short;10000;3000;1.73531;1.7186;1.75204; $ 2,996.41 ;1.59;0.998804543;Closed; $ 334,097.03
71;12/11/2019 1:00;13/11/2019 21:00;1.83;54541;W1;FOREX;AUD_JPY;Short;10000;3000;74.822;73.781;75.284; $ 6,759.74 ;9.17;2.253246753;Closed; $ 340,856.77
72;13/11/2019 1:00;14/11/2019 9:00;1.33;54541;W1;FOREX;EUR_AUD;Long;10000;3000;1.61357;1.62328;1.6071; $ 4,502.32 ;5.69;1.500772798;Closed; $ 345,359.09
